Date,AZN.L,BHP.L,HSBA.L,LLOY.L,RR.L,ULVR.L,SHEL.L,BP.L,BATS.L,RIO.L,DGE.L,GSK.L,VOD.L,PRU.L,ITV.L,SSE.L,LGEN.L,TSCO.L,AAL.L,BARC.L,SMIN.L,MNG.L,STAN.L,EXPN.L,CPG.L,NXT.L,SAGA.L,ABF.L,ADM.L,HL.L
2022-12-01,11200.0,2566.0,497.8999938964844,46.125,86.93000030517578,4179.5,2382.0,489.45001220703125,3391.0,5598.0,3846.0,1415.4000244140625,91.5199966430664,1016.0,74.58000183105469,1740.0,255.3000030517578,228.6999969482422,3301.5,158.27999877929688,1595.5,191.1999969482422,594.7999877929688,2954.0,1866.5,5814.0,99.4000015258789,1587.5,2059.0,852.5999755859375
2022-12-02,11178.0,2571.0,498.5,46.650001525878906,90.25,4178.0,2365.5,480.8999938964844,3408.0,5584.0,3847.0,1424.0,91.13999938964844,1030.5,76.05999755859375,1723.0,254.89999389648438,228.5,3296.0,156.82000732421875,1593.5,190.5500030517578,592.5999755859375,2967.0,1875.0,5834.0,104.0,1667.5,2036.0,871.7999877929688
2022-12-05,11260.0,2582.0,500.0,46.375,90.58999633789062,4179.0,2375.5,483.5,3430.5,5671.0,3821.5,1422.199951171875,91.0199966430664,1085.5,76.87999725341797,1730.0,255.10000610351562,230.10000610351562,3337.0,156.27999877929688,1590.0,186.8000030517578,592.2000122070312,2957.0,1896.0,5854.0,104.5,1668.5,2026.0,854.4000244140625
2022-12-06,11150.0,2580.0,498.6499938964844,46.42499923706055,93.48999786376953,4186.0,2358.5,474.6499938964844,3419.0,5680.0,3827.0,1387.800048828125,89.2699966430664,1076.5,76.9000015258789,1710.0,256.1000061035156,229.0,3324.5,158.75999450683594,1598.5,186.64999389648438,591.7999877929688,2910.0,1898.5,5862.0,104.9000015258789,1669.5,2002.0,839.2000122070312
2022-12-07,11258.0,2557.5,493.8500061035156,46.23500061035156,90.52999877929688,4161.0,2315.5,464.0,3410.5,5616.0,3819.0,1492.4000244140625,87.66000366210938,1055.0,75.80000305175781,1707.0,253.39999389648438,228.3000030517578,3270.0,157.44000244140625,1611.5,184.25,584.2000122070312,2914.0,1892.5,5880.0,106.69999694824219,1666.5,1993.0,835.0
2022-12-08,11316.0,2592.0,495.29998779296875,45.900001525878906,91.38999938964844,4161.0,2309.5,463.95001220703125,3305.0,5780.0,3776.0,1483.5999755859375,85.93000030517578,1058.5,74.54000091552734,1698.0,252.10000610351562,230.89999389648438,3299.5,156.8000030517578,1611.0,181.5,591.4000244140625,2880.0,1897.5,5810.0,106.5999984741211,1654.5,1979.0,850.4000244140625
2022-12-09,11354.0,2634.0,496.20001220703125,46.439998626708984,94.05000305175781,4125.5,2286.0,461.95001220703125,3316.0,5835.0,3743.0,1457.800048828125,86.75,1090.5,75.55999755859375,1696.0,254.6999969482422,227.89999389648438,3190.0,159.47999572753906,1614.0,183.9499969482422,599.0,2895.0,1919.5,5846.0,109.69999694824219,1639.0,2015.0,864.7999877929688
2022-12-12,11350.0,2537.0,496.3500061035156,45.775001525878906,92.83999633789062,4122.0,2295.5,462.1000061035156,3307.5,5679.0,3728.5,1445.0,87.05999755859375,1061.0,73.9000015258789,1696.5,252.0,226.8000030517578,3155.0,158.13999938964844,1599.5,182.8000030517578,603.0,2924.0,1902.5,5786.0,110.9000015258789,1611.0,2016.0,856.4000244140625
2022-12-13,11326.0,2565.5,500.1000061035156,46.369998931884766,90.61000061035156,4105.5,2318.0,471.04998779296875,3252.5,5747.0,3759.5,1452.4000244140625,86.48999786376953,1100.0,76.62000274658203,1708.5,258.20001220703125,226.5,3205.0,161.77999877929688,1609.0,185.6999969482422,608.0,2950.0,1899.0,5880.0,114.19999694824219,1623.5,2052.0,885.4000244140625
2022-12-14,11400.0,2506.5,497.70001220703125,46.154998779296875,90.29000091552734,4150.5,2296.0,469.54998779296875,3268.0,5622.0,3764.5,1443.800048828125,86.33999633789062,1090.0,76.68000030517578,1725.5,258.6000061035156,225.6999969482422,3132.5,160.25999450683594,1614.5,185.6999969482422,606.5999755859375,2984.0,1925.0,5922.0,110.4000015258789,1629.0,2085.0,885.4000244140625
2022-12-15,11360.0,2524.0,492.6499938964844,45.46500015258789,89.12999725341797,4137.0,2289.5,465.8500061035156,3285.0,5657.0,3675.5,1449.4000244140625,85.9800033569336,1065.5,74.4800033569336,1722.0,254.10000610351562,223.5,3114.5,155.1999969482422,1610.0,184.85000610351562,604.5999755859375,2906.0,1902.5,5742.0,113.30000305175781,1572.0,2052.0,880.2000122070312
2022-12-16,11156.0,2505.0,492.25,45.18000030517578,87.33000183105469,4141.0,2243.0,455.3999938964844,3293.5,5612.0,3624.0,1428.0,83.76000213623047,1056.5,69.44000244140625,1688.5,246.89999389648438,222.3000030517578,3100.0,154.4199981689453,1570.5,180.10000610351562,616.7999877929688,2859.0,1901.0,5626.0,112.0,1553.0,2015.0,854.0
